station_id,lat,lon,source,reports,country
UNIP1,40.946,-77.905,madis,subhourly,US
UNIT1,36.201,-82.389,madis,subhourly,US
UNKN,60.3,-146.6,madis,subhourly,US
UNLA2,53.88,-166.537,madis,subhourly,US
UNNM7,38.444,-90.996,madis,subhourly,US
UNNW2,37.591,-80.528,madis,subhourly,US
UNON5,31.948,-106.666,madis,subhourly,US
UNRA2,59.684,-150.703,madis,subhourly,US
UNRC2,38.241,-107.76,madis,subhourly,US
UNVT1,35.621,-86.586,madis,subhourly,US
UNVV1,43.79,-72.255,madis,subhourly,US
