"03-29-18_data_table_logger_20288025"
"Seconds past 5:00:00 AM","Intensity, Lux","log10(Intensity+1)"
3780,0,0
3790,0.22,0.0863598
3800,0,0
3810,0,0
3820,0.22,0.0863598
3830,0,0
3840,0.22,0.0863598
3850,0,0
3860,0.22,0.0863598
3870,0,0
3880,0,0
3890,0,0
3900,0,0
3910,0,0
3920,0,0
3930,0,0
3940,0,0
3950,0,0
3960,0,0
3970,0,0
3980,0,0
3990,0,0
4000,0,0
4010,0,0
4020,0,0
4030,0.22,0.0863598
4040,0.22,0.0863598
4050,0.22,0.0863598
4060,0.22,0.0863598
4070,0.22,0.0863598
4080,0,0
4090,0,0
4100,0.22,0.0863598
4110,0.22,0.0863598
4120,0.22,0.0863598
4130,0.22,0.0863598
4140,0,0
4150,0.22,0.0863598
4160,0.22,0.0863598
4170,0.22,0.0863598
4180,0.22,0.0863598
4190,0.22,0.0863598
4200,0.22,0.0863598
4210,0.22,0.0863598
4220,0.22,0.0863598
4230,0.22,0.0863598
4240,0.22,0.0863598
4250,0.22,0.0863598
4260,0.22,0.0863598
4270,0.22,0.0863598
4280,0.22,0.0863598
4290,0.22,0.0863598
4300,0.22,0.0863598
4310,0.22,0.0863598
4320,0.22,0.0863598
4330,0.22,0.0863598
4340,0.22,0.0863598
4350,0.22,0.0863598
4360,0.22,0.0863598
4370,0.22,0.0863598
4380,0.22,0.0863598
4390,0.22,0.0863598
4400,0.22,0.0863598
4410,0.22,0.0863598
4420,0.22,0.0863598
4430,0.22,0.0863598
4440,0.22,0.0863598
4450,0.22,0.0863598
4460,0.22,0.0863598
4470,0,0
4480,0.22,0.0863598
4490,0.22,0.0863598
4500,0.22,0.0863598
4510,0.22,0.0863598
4520,0.22,0.0863598
4530,0.22,0.0863598
4540,0,0
4550,0,0
4560,0.22,0.0863598
4570,0,0
4580,0,0
4590,0.22,0.0863598
4600,0,0
4610,0,0
4620,0,0
4630,0.22,0.0863598
4640,0.44,0.158362
4650,0.22,0.0863598
4660,0.22,0.0863598
4670,0.22,0.0863598
4680,0.22,0.0863598
4690,0.22,0.0863598
4700,0.22,0.0863598
4710,0.22,0.0863598
4720,0.22,0.0863598
4730,0.22,0.0863598
4740,0.22,0.0863598
4750,0.22,0.0863598
4760,0.22,0.0863598
4770,0.22,0.0863598
4780,0.22,0.0863598
4790,0.22,0.0863598
4800,0.22,0.0863598
4810,0.22,0.0863598
4820,0.22,0.0863598
4830,0.22,0.0863598
4840,0.22,0.0863598
4850,0.22,0.0863598
4860,0,0
4870,0.22,0.0863598
4880,0.22,0.0863598
4890,0.22,0.0863598
4900,0.22,0.0863598
4910,0.22,0.0863598
4920,0.22,0.0863598
4930,0.22,0.0863598
4940,0.22,0.0863598
4950,0.22,0.0863598
4960,0.22,0.0863598
4970,0.22,0.0863598
4980,0.22,0.0863598
4990,0.22,0.0863598
5000,0.22,0.0863598
5010,0.22,0.0863598
5020,0.22,0.0863598
5030,0.22,0.0863598
5040,0.22,0.0863598
5050,0.22,0.0863598
5060,0.22,0.0863598
5070,0.22,0.0863598
5080,0.22,0.0863598
5090,0.22,0.0863598
5100,0.44,0.158362
5110,0.22,0.0863598
5120,0.22,0.0863598
5130,0.22,0.0863598
5140,0.22,0.0863598
5150,0.22,0.0863598
5160,0.22,0.0863598
5170,0.22,0.0863598
5180,0.22,0.0863598
5190,0.22,0.0863598
5200,0.22,0.0863598
5210,0.22,0.0863598
5220,0.22,0.0863598
5230,0.22,0.0863598
5240,0.22,0.0863598
5250,0.22,0.0863598
5260,0.22,0.0863598
5270,0.22,0.0863598
5280,0.22,0.0863598
5290,0.22,0.0863598
5300,0.22,0.0863598
5310,0.22,0.0863598
5320,0.22,0.0863598
5330,0.22,0.0863598
5340,0.22,0.0863598
5350,0.22,0.0863598
5360,0.22,0.0863598
5370,0.22,0.0863598
5380,0.22,0.0863598
5390,0.22,0.0863598
5400,0.22,0.0863598
5410,0.22,0.0863598
5420,0.22,0.0863598
5430,0.22,0.0863598
5440,0.22,0.0863598
5450,0.22,0.0863598
5460,0.22,0.0863598
5470,0.22,0.0863598
5480,0.22,0.0863598
5490,0.22,0.0863598
5500,0.22,0.0863598
5510,0.22,0.0863598
5520,0.22,0.0863598
5530,0.22,0.0863598
5540,0.22,0.0863598
5550,0.22,0.0863598
5560,0.22,0.0863598
5570,0.22,0.0863598
5580,0.22,0.0863598
5590,0.22,0.0863598
5600,0.22,0.0863598
5610,0.22,0.0863598
5620,0.22,0.0863598
5630,0.22,0.0863598
5640,0.22,0.0863598
5650,0.22,0.0863598
5660,0.22,0.0863598
5670,0.22,0.0863598
5680,0.22,0.0863598
5690,0.22,0.0863598
5700,0.22,0.0863598
5710,0.22,0.0863598
5720,0.22,0.0863598
5730,0.22,0.0863598
5740,0.22,0.0863598
5750,0.22,0.0863598
5760,0.22,0.0863598
5770,0.22,0.0863598
5780,0.22,0.0863598
5790,0.22,0.0863598
5800,0.22,0.0863598
5810,0.22,0.0863598
5820,0.22,0.0863598
5830,0.22,0.0863598
5840,0.22,0.0863598
5850,0.22,0.0863598
5860,0.22,0.0863598
5870,0.22,0.0863598
5880,0.22,0.0863598
5890,0.22,0.0863598
5900,0.22,0.0863598
5910,0.22,0.0863598
5920,0.22,0.0863598
5930,0.22,0.0863598
5940,0.22,0.0863598
5950,0.22,0.0863598
5960,0.22,0.0863598
5970,0.22,0.0863598
5980,0.22,0.0863598
5990,0.22,0.0863598
6000,0.22,0.0863598
6010,0.22,0.0863598
6020,0.22,0.0863598
6030,0.22,0.0863598
6040,0.22,0.0863598
6050,0.22,0.0863598
6060,0.22,0.0863598
6070,0.22,0.0863598
6080,0.22,0.0863598
6090,0.22,0.0863598
6100,0.22,0.0863598
6110,0.22,0.0863598
6120,0.22,0.0863598
6130,0.22,0.0863598
6140,0.22,0.0863598
6150,0.22,0.0863598
6160,0.22,0.0863598
6170,0.22,0.0863598
6180,0.22,0.0863598
6190,0.22,0.0863598
6200,0.22,0.0863598
6210,0.22,0.0863598
6220,0.22,0.0863598
6230,0.22,0.0863598
6240,0.22,0.0863598
6250,0.22,0.0863598
6260,0.22,0.0863598
6270,0.22,0.0863598
6280,0.22,0.0863598
6290,0.22,0.0863598
6300,0.22,0.0863598
6310,0.22,0.0863598
6320,0.22,0.0863598
6330,0.44,0.158362
6340,0.22,0.0863598
6350,0.44,0.158362
6360,0.22,0.0863598
6370,0.44,0.158362
6380,0.44,0.158362
6390,0.44,0.158362
6400,0.44,0.158362
6410,0.22,0.0863598
6420,0.22,0.0863598
6430,0.22,0.0863598
6440,0.44,0.158362
6450,0.22,0.0863598
6460,0.44,0.158362
6470,0.44,0.158362
6480,0.44,0.158362
6490,0.44,0.158362
6500,0.44,0.158362
6510,0.44,0.158362
6520,0.44,0.158362
6530,0.44,0.158362
6540,0.44,0.158362
6550,0.44,0.158362
6560,0.44,0.158362
6570,0.44,0.158362
6580,0.44,0.158362
6590,0.44,0.158362
6600,0.67,0.222716
6610,0.44,0.158362
6620,0.44,0.158362
6630,0.44,0.158362
6640,0.44,0.158362
6650,0.44,0.158362
6660,0.44,0.158362
6670,0.44,0.158362
6680,0.44,0.158362
6690,0.44,0.158362
6700,0.44,0.158362
6710,0.44,0.158362
6720,0.44,0.158362
6730,0.44,0.158362
6740,0.44,0.158362
6750,0.44,0.158362
6760,0.44,0.158362
6770,0.44,0.158362
6780,0.44,0.158362
6790,0.44,0.158362
6800,0.44,0.158362
6810,0.67,0.222716
6820,0.67,0.222716
6830,0.67,0.222716
6840,0.67,0.222716
6850,0.67,0.222716
6860,0.67,0.222716
6870,0.67,0.222716
6880,0.67,0.222716
6890,0.67,0.222716
6900,0.67,0.222716
6910,0.67,0.222716
6920,0.67,0.222716
6930,0.67,0.222716
6940,0.67,0.222716
6950,0.89,0.276462
6960,0.89,0.276462
6970,0.89,0.276462
6980,0.89,0.276462
6990,0.89,0.276462
7000,0.89,0.276462
7010,0.89,0.276462
7020,0.89,0.276462
7030,0.89,0.276462
7040,0.89,0.276462
7050,0.89,0.276462
7060,0.89,0.276462
7070,1.11,0.324282
7080,1.11,0.324282
7090,1.11,0.324282
7100,1.11,0.324282
7110,1.11,0.324282
7120,1.11,0.324282
7130,1.11,0.324282
7140,1.11,0.324282
7150,1.11,0.324282
7160,1.34,0.369216
7170,1.34,0.369216
7180,1.34,0.369216
7190,1.34,0.369216
7200,1.34,0.369216
7210,1.56,0.40824
7220,1.56,0.40824
7230,1.56,0.40824
7240,1.78,0.444045
7250,1.78,0.444045
7260,1.78,0.444045
7270,1.78,0.444045
7280,2.01,0.478566
7290,2.01,0.478566
7300,2.01,0.478566
7310,2.23,0.509203
7320,2.23,0.509203
7330,2.23,0.509203
7340,2.46,0.539076
7350,2.46,0.539076
7360,2.46,0.539076
7370,2.68,0.565848
7380,2.68,0.565848
7390,2.68,0.565848
7400,2.9,0.591065
7410,2.9,0.591065
7420,3.13,0.61595
7430,3.13,0.61595
7440,3.35,0.638489
7450,3.35,0.638489
7460,3.35,0.638489
7470,3.57,0.659916
7480,3.57,0.659916
7490,3.57,0.659916
7500,3.8,0.681241
7510,3.8,0.681241
7520,4.02,0.700704
7530,4.02,0.700704
7540,4.02,0.700704
7550,4.25,0.720159
7560,4.47,0.737987
7570,4.47,0.737987
7580,4.69,0.755112
7590,4.92,0.772322
7600,5.14,0.788168
7610,5.36,0.803457
7620,5.59,0.818885
7630,5.81,0.833147
7640,5.81,0.833147
7650,6.04,0.847573
7660,6.26,0.860937
7670,6.48,0.873902
